stage,epoch,gen_loss,disc_loss,disc_acc,ms_signal,score,health,sharp_ratio,lr_factor,instance_noise,seconds,struct_dog,color_dog,sharp_dog,struct_cat,color_cat,sharp_cat,global_epoch
stage1,1,3.4238651994760936,0.7730891193662371,0.8967126623376623,0.2774774763104203,0.0041754875907021,0.0172167470920593,0.2061460557647997,1.0,0.0,49.21670889854431,0.0191224813461303,0.0032358348835259,0.0687853246927261,0.0168907046318054,0.0031522251665592,0.0666262358427047,1
stage1,2,4.215276965847263,0.7589362863596384,0.9026988636363636,0.3094505907653214,0.0485268264102893,0.0917981870648185,0.4493313473343839,1.0,0.0,34.23010277748108,0.1064692139625549,0.0155204562470316,0.1379973441362381,0.090059757232666,0.0150616504251956,0.1571558117866516,2
stage1,3,3.0605346622405114,0.6889273764251115,0.9087357954545454,0.4221146896287992,0.50168565515569,0.7380374516828958,0.5777929187764692,1.0,0.0,35.45964169502258,0.7242515087127686,0.0832744613289833,0.1889019608497619,0.8032604455947876,0.0793997719883918,0.1906339973211288,3
stage1,4,3.2219090066946947,0.7462462031996095,0.8924005681818182,0.4300802067502752,0.5625309174077261,0.5204173872222358,0.9187842274600954,1.0,0.0,41.05146479606629,0.5106964111328125,0.1018554270267486,0.2997431755065918,0.5812956094741821,0.1019639372825622,0.3037804067134857,4
stage1,5,3.2489707160305668,0.6069854714653709,0.9347098214285714,0.4437517833400082,0.8610068616037914,0.7318558323632226,1.1096346734364853,1.0,0.0,36.47219967842102,0.7821828722953796,0.1784247606992721,0.352522611618042,0.7179962992668152,0.1612329930067062,0.3763652741909027,5
stage1,6,3.0883879940231127,0.7760881715780729,0.8833198051948052,0.5117089125243101,0.942883925063322,0.8014513363038237,1.1211648854757494,1.0,0.0,36.45428895950317,0.8279221057891846,0.1435659676790237,0.3694257438182831,0.7862738370895386,0.138579860329628,0.3670360147953033,6
stage1,7,2.788667685025698,0.807422255540823,0.8832690746753247,0.5200252807759619,0.8759806435911345,0.9517420757344028,0.8759806569267725,1.0,0.0,36.47395420074463,0.958450973033905,0.2447988241910934,0.2970729470252991,0.93371844291687,0.2287907153367996,0.2783341705799103,7
stage1,8,2.54261679424868,0.864312891062204,0.8490767045454546,0.5218197405338287,0.8928100335181632,0.9195525540637948,0.8928100471100063,1.0,0.0,36.46005868911743,0.9023760557174684,0.2140150666236877,0.2992660105228424,0.9056446552276612,0.2069980353116989,0.2871958613395691,8
stage1,9,2.439017281129763,0.846261457189337,0.8448153409090909,0.5182521629643131,0.9070477039297188,0.936054111675234,0.9070477177383114,1.0,0.0,36.48387718200684,0.9345971345901488,0.2438451498746872,0.2947659194469452,0.918327569961548,0.239627793431282,0.3010482788085937,9
stage1,10,2.492660043688564,0.8570568035175274,0.8438007305194806,0.509562498950339,0.977463766764186,0.90310772245857,0.9774637816447692,1.0,0.0,41.050106048583984,0.9224407076835632,0.2078704088926315,0.3124094009399414,0.8860051035881042,0.2019357830286026,0.3296591341495514,10
