stage,epoch,gen_loss,disc_loss,disc_acc,ms_signal,score,health,sharp_ratio,lr_factor,instance_noise,seconds,struct_dog,color_dog,sharp_dog,struct_cat,color_cat,sharp_cat
stage3,1,1.7342963961811808,0.8403899638683765,0.8610491071428571,0.5024426660754464,0.9941472465665426,0.9377811389173334,0.9941472617011097,1.0,0.0,45.261635541915894,0.9468386173248291,0.20595860481262207,0.3203118145465851,0.9200218915939331,0.220753476023674,0.33271563053131104
stage3,2,1.7322190040117735,0.8160455327529412,0.8753551136363636,0.5049185810925124,0.9930535104423301,0.9374836207155266,0.9930535255602466,1.0,0.0,36.98316144943237,0.9475138187408447,0.2057386040687561,0.31981611251831055,0.919730007648468,0.22042708098888397,0.3324928879737854
stage3,3,1.7574851056198022,0.8099723102210404,0.8766233766233766,0.5040588433092291,0.995085726332973,0.9372337345885036,0.9950857414818272,1.0,0.0,41.12161350250244,0.9480867385864258,0.20555756986141205,0.3206101357936859,0.9194848537445068,0.22014085948467255,0.3330337703227997
stage3,4,1.7504388434546334,0.8188743018484735,0.8729707792207793,0.5059763940123768,0.9982693890687806,0.9369297763357693,0.9982694042661018,1.0,0.0,37.186887979507446,0.9485909938812256,0.205836221575737,0.32125118374824524,0.9191866517066956,0.22027836740016937,0.3344839811325073
stage3,5,1.7253431143698754,0.822691779632073,0.8713474025974026,0.50343599489757,1.0,0.9359980346280076,1.0020029976001505,1.0,0.0,36.93014073371887,0.9485868811607361,0.20522789657115936,0.3216463029384613,0.9182725548744202,0.21976317465305328,0.3365413546562195
stage3,6,1.7400788463555372,0.8135732079481149,0.8754058441558441,0.5025821157864162,1.0,0.9354374464213359,1.001413685834536,1.0,0.0,37.170334815979004,0.948621928691864,0.20499785244464874,0.3217547833919525,0.9177225828170776,0.21964393556118011,0.3360457718372345
stage3,7,1.7253737349014777,0.8339367361811848,0.8624695616883117,0.5022187035579186,1.0,0.9361956712852422,1.0037800522799252,1.0,0.0,36.921443939208984,0.9490143060684204,0.2044730931520462,0.3222804367542267,0.9184664487838745,0.2189277857542038,0.33707451820373535
stage3,8,1.7234864652930917,0.8098808031577569,0.8790584415584416,0.5009421443010306,1.0,0.9362713115060405,1.0086620526823575,1.0,0.0,36.934571981430054,0.9494960904121399,0.2045087069272995,0.32346150279045105,0.9185406565666199,0.21883021295070648,0.33910030126571655
stage3,9,1.6955612139268355,0.8328958262096752,0.864650974025974,0.506296505788704,1.0,0.9370251619957319,1.0092571718162067,1.0,0.0,37.06552052497864,0.9497987031936646,0.20400305092334747,0.3229597806930542,0.9192802309989929,0.21827661991119385,0.3399929404258728
stage3,10,1.7500144034237057,0.8130146056026607,0.87109375,0.5029767329816694,1.0,0.9375121149031205,1.012926702619418,1.0,0.0,37.04125618934631,0.9498773813247681,0.20382024347782135,0.3242942690849304,0.9197579622268677,0.218123659491539,0.3410688638687134
stage3,11,1.7562875438046146,0.8125575300935027,0.8755073051948052,0.5054148799413211,1.0,0.9374638752763623,1.011246921357572,1.0,0.0,37.19125270843506,0.9501161575317383,0.20367687940597534,0.32350122928619385,0.919710636138916,0.21818900108337402,0.3407585024833679
stage3,12,1.7202875304531742,0.8182111545042559,0.8740868506493507,0.5008811749421157,1.0,0.9383905743027375,1.0091284569436956,1.0,0.0,36.8503692150116,0.9502331018447876,0.2039230465888977,0.32261595129966736,0.920619785785675,0.2185138314962387,0.34025222063064575
stage3,13,1.773689779368314,0.804828227340401,0.8783989448051948,0.5049635558933406,1.0,0.9383693707388351,1.0083326660153038,1.0,0.0,36.92400503158569,0.9503666758537292,0.2038106918334961,0.3221089541912079,0.9205989837646484,0.21846963465213776,0.34023648500442505
stage3,14,1.738535139467809,0.8066032861734366,0.8807832792207793,0.5054424556044789,1.0,0.9386334128268589,1.0107188591788063,1.0,0.0,36.91156721115112,0.9504849910736084,0.20400935411453247,0.3223850429058075,0.9208580255508423,0.2183275818824768,0.3415278196334839
stage3,15,1.726058097628804,0.8203507011586969,0.8725142045454546,0.5035780536663996,1.0,0.9379747049763402,1.0156653758127197,1.0,0.0,36.95557355880737,0.9509120583534241,0.20365412533283234,0.32404765486717224,0.9202117919921875,0.2179499864578247,0.34311443567276
stage3,16,1.764118005703022,0.8041565758841378,0.8807325487012987,0.5040476956924835,1.0,0.938470345876961,1.0211983005281302,1.0,0.0,37.099883794784546,0.9510418176651001,0.20362156629562378,0.32527869939804077,0.9206980466842651,0.2176104038953781,0.3455178141593933
stage3,17,1.804994227824273,0.8034099789408894,0.875101461038961,0.505174633357432,1.0,0.9386414325129193,1.0197988155237305,1.0,0.0,36.88485884666443,0.9511491656303406,0.20338845252990723,0.3248136639595032,0.9208658933639526,0.2169506698846817,0.34506356716156006
stage3,18,1.773953791562613,0.8062910553696868,0.8769277597402597,0.505181953504488,1.0,0.9382280541496166,1.0210144156573906,1.0,0.0,36.90896558761597,0.9513307809829712,0.20317356288433075,0.32505133748054504,0.9204603433609009,0.2167343646287918,0.3456243872642517
stage3,19,1.8167043165727095,0.7839444117112593,0.8877840909090909,0.5065195351452022,1.0,0.9379861269534567,1.0202830048502867,1.0,0.0,37.01068615913391,0.9517412781715393,0.20325309038162231,0.32510697841644287,0.9202229976654053,0.21705348789691925,0.34508830308914185
stage3,20,1.7594818449639655,0.8041823591504779,0.8778409090909091,0.5040021852239386,1.0,0.9379212404026033,1.020575051954395,1.0,0.0,36.95699095726013,0.9519117474555969,0.20392809808254242,0.32494601607322693,0.9201593399047852,0.21759013831615448,0.3454411029815674
stage3,21,1.7889751939030436,0.7963223983715106,0.8812905844155844,0.501652058068808,1.0,0.9380179626769092,1.021298840590691,1.0,0.0,37.10174298286438,0.9518143534660339,0.2038833051919937,0.3257969319820404,0.9202542304992676,0.21768061816692352,0.3450656235218048
stage3,22,1.7876108420359624,0.8066100772325094,0.8762175324675324,0.5009117919903296,1.0,0.9374816157940115,1.019926350774569,1.0,0.0,36.93684983253479,0.9516865611076355,0.2040814906358719,0.32568129897117615,0.9197280406951904,0.21819709241390228,0.3442797064781189
